,Company_Name,Rating,Reviews,Company_Type,Location_Info
8457,Prayagh Nutri Products,4.1,(127),Food Processing,Hyderabad / Secunderabad +29 other locations
8458,IDA Automation,3.8,(126),,
8459,Ameriprise India,3.4,(127),Financial Services,Gurgaon / Gurugram +2 other locations
8460,ANY Graphics,3.7,(127),Printing & Publishing,Noida +17 other locations
8461,IDA Automation,3.8,(126),,
8462,Ameriprise India,3.4,(127),Financial Services,Gurgaon / Gurugram +2 other locations
8463,Fia Technology Services,3.5,(125),FinTech,Gurgaon / Gurugram +29 other locations
8464,Arihant Capital Markets,3.5,(127),Financial Services,Indore +18 other locations
8465,Xome,4.2,(127),Internet,Chennai +4 other locations
8466,Nectar Infotel Solutions,2.7,(127),IT Services & Consulting,Pune +26 other locations
8467,Sanjay Ghodawat Group,3.4,(127),Food Processing,Kolhapur +26 other locations
8468,Growel Softech,2.6,(127),Recruitment,Pune +6 other locations
8469,Siec Education,2.8,(127),Recruitment,New Delhi +12 other locations
8470,ADM India,4.1,(127),Food Processing,Gurgaon / Gurugram +21 other locations
8471,IndiGrid,4.2,(127),Real Estate,Mumbai +27 other locations
8472,Mangalam Drugs & Organics,3.6,(127),Pharma,Vapi +6 other locations
8473,Lot Mobiles,3.5,(127),Retail,Hyderabad / Secunderabad +22 other locations
8474,Nuvento Systems,3.2,(127),IT Services & Consulting,Kochi +11 other locations
8475,FBSPL- Fusion Business Solution P Limited,3.5,(127),BPO,Udaipur +6 other locations
8476,Hitachi Solutions,3.7,(127),IT Services & Consulting,Pune +11 other locations
8477,Palo Alto Networks,3.8,(127),IT Services & Consulting,Bangalore / Bengaluru +10 other locations
8478,Kimia Biosciences Limited,3.6,(127),Pharma,Gurgaon / Gurugram +4 other locations
8479,Kalyaniwalla & Mistry,3.1,(127),Accounting & Auditing,Mumbai +8 other locations
8480,DavaIndia,3.6,(138),,
8481,Gigmo Solutions,3.9,(127),IT Services & Consulting,Gurgaon / Gurugram +8 other locations
8482,Ice Mortgage Technology,3.4,(127),Software Product,Pune +1 other locations
8483,IndiGrid,4.2,(127),Real Estate,Mumbai +27 other locations
8484,Mangalam Drugs & Organics,3.6,(127),Pharma,Vapi +6 other locations
8485,Lot Mobiles,3.5,(127),Retail,Hyderabad / Secunderabad +22 other locations
8486,Wings Pharmaceuticals,3.2,(127),Pharma,New Delhi +27 other locations
8487,Seeds Fincap,3.5,(127),NBFC,Gurgaon / Gurugram +41 other locations
8488,HashCash Consultants,3.5,(128),Software Product,Kolkata +5 other locations
8489,ATPI,3.8,(127),Travel & Tourism,Mumbai +6 other locations
8490,Saasguru,2.0,(127),,
8491,Turner & Townsend,3.9,(125),Engineering & Construction,Mumbai +11 other locations
8492,CloudThat Technologies Private Limited,4.1,(127),IT Services & Consulting,Bangalore / Bengaluru +5 other locations
8493,QO BOX,4.6,(126),IT Services & Consulting,Chennai +3 other locations
8494,Sahara India Financial Corporation,3.9,(125),Financial Services,Lucknow +54 other locations
8495,ABIL Group,4.3,(125),Real Estate,Pune +1 other locations
8496,Bikayi,2.8,(126),Marketing & Advertising,Bangalore / Bengaluru +4 other locations
8497,Gj Solutions,3.5,(126),Recruitment,Hyderabad / Secunderabad +8 other locations
8498,Anmol Biscuits,4.3,(126),FMCG,Kolkata +36 other locations
8499,G.S.E.C,3.1,(126),Logistics,Ahmedabad +15 other locations
8500,Gj Solutions,3.5,(126),Recruitment,Hyderabad / Secunderabad +8 other locations
8501,Ashok Iron Group,3.8,(126),Iron & Steel,Belgaum +6 other locations
8502,Bizmatics India,3.3,(126),Software Product,Mumbai +7 other locations
8503,Ind Synergy,3.9,(126),Engineering & Construction,Raigarh +9 other locations
8504,Nahar Spinning Mills,4.1,(126),Fashion & Textile,Ludhiana +7 other locations
8505,Dentcare Dental Lab,3.8,(126),Medical Equipment,Kochi +26 other locations
8506,Oxalis Pharmaceuticals,3.9,(126),Pharma,Baddi +7 other locations
8507,Insurance Company,4.1,(126),Real Estate,New Delhi +50 other locations
8508,Indian Acrylics,3.7,(126),Chemicals,Sangrur +7 other locations
8509,Rajagiri Hospital,4.1,(126),Healthcare,Kochi +11 other locations
8510,Technians Softech,4.0,(126),IT Services & Consulting,Gurgaon / Gurugram +2 other locations
8511,Cognifyz Technologies,4.0,(126),,
8512,HireRight,3.6,(128),Analytics & KPO,Bangalore / Bengaluru +9 other locations
8513,Vhb Medi Sciences,3.3,(126),Pharma,Rudrapur +10 other locations
8514,Greytrix,3.4,(126),IT Services & Consulting,Mumbai +3 other locations
8515,PAVIT CERAMICS ( P),3.5,(127),Building Material,Ahmedabad +24 other locations
8516,Monotech Systems,3.7,(126),Printing & Publishing,Chennai +20 other locations
8517,GlobeGround India,3.6,(126),Aviation,Bangalore / Bengaluru +10 other locations
8518,Duroply Industries,4.0,(126),Building Material,New Delhi +33 other locations
8519,John Distilleries,3.8,(126),Beverage,Bangalore / Bengaluru +18 other locations
8520,Boyen Haddin,3.4,(126),Recruitment,Mumbai +5 other locations
8521,Ghaziabad Precision Products,3.6,(125),Automobile,Ghaziabad +12 other locations
8522,Fairmont Hotels & Resorts,3.5,(126),Hospitality,Jaipur +18 other locations
8523,Paras Buildtech,3.4,(126),Real Estate,Gurgaon / Gurugram +5 other locations
8524,INVENTIVE SOFTWARE SOLUTIONS,3.8,(126),IT Services & Consulting,Noida +32 other locations
8525,Equinix,3.1,(126),IT Services & Consulting,Bangalore / Bengaluru +6 other locations
8526,Publicis Global Delivery,4.0,(127),Media & Entertainment,Gurgaon / Gurugram +10 other locations
8527,Chargebee,3.7,(126),Software Product,Chennai +4 other locations
8528,Spardha School of Music,4.4,(126),,
8529,Eye7 Chaudhary Eye Centre,3.0,(126),Healthcare,New Delhi +7 other locations
8530,Ajnara India,3.4,(126),Real Estate,Noida +4 other locations
8531,Geeklurn,3.7,(126),EdTech,Bangalore / Bengaluru +4 other locations
8532,Duroply Industries,4.0,(126),Building Material,New Delhi +33 other locations
8533,GlobeGround India,3.6,(126),Aviation,Bangalore / Bengaluru +10 other locations
8534,Ata Freight Line,3.5,(126),Logistics,Pune +9 other locations
8535,Dar Group,3.3,(126),Architecture & Interior Design,Pune +11 other locations
8536,Hicool Electronic Industries,4.2,(123),Electrical Equipment,Pune +8 other locations
8537,Bigshare Services,2.9,(126),Legal,Mumbai +12 other locations
8538,Visit Health,3.0,(126),,
8539,Andhra Pradesh Grama/Ward Sachivalayam,4.0,(126),,
8540,Visit Health,3.0,(126),,
8541,Dar Group,3.3,(126),Architecture & Interior Design,Pune +11 other locations
8542,Ata Freight Line,3.5,(126),Logistics,Pune +9 other locations
8543,Abs Fujitsu General,3.8,(127),Engineering & Construction,Hyderabad / Secunderabad +13 other locations
8544,Chemspec Chemicals,3.5,(125),Chemicals,Mumbai +4 other locations
8545,Stellapps Technologies,3.8,(126),Software Product,Bangalore / Bengaluru +29 other locations
8546,Junomoneta Finsol,2.8,(126),Investment Banking / Venture Capital / Private Equity,Rajkot +8 other locations
8547,TQ Cert Services,3.7,(126),,
8548,House of Beauty,3.7,(125),Internet,Gurgaon / Gurugram +16 other locations
8549,Abacus Staffing & Services,3.2,(125),,
8550,Abhijeet Group,3.9,(125),Power,Visakhapatnam +24 other locations
8551,Paharpur 3P,4.1,(125),Packaging,Ghaziabad +12 other locations
8552,Redington Gulf,3.8,(125),IT Services & Consulting,Chennai +2 other locations
8553,Dasnac,4.7,(125),Real Estate,New Delhi +2 other locations
8554,Dayanand Medical College & Hospital,3.5,(125),Healthcare,Ludhiana +6 other locations
8555,Continuum Global Solutions,3.6,(125),BPO,Indore +9 other locations
8556,Rahman Industries,3.7,(125),Fashion & Textile,Kanpur +9 other locations
8557,Welcomhotel By ITC Hotels,4.3,(125),,
8558,Hindustan Shipyard,4.1,(125),Ports & Shipping,Visakhapatnam +6 other locations
8559,Rockwell Industries,3.6,(125),Electronics Manufacturing,Hyderabad / Secunderabad +17 other locations
8560,MAP Systems,2.8,(125),IT Services & Consulting,Bangalore / Bengaluru +5 other locations
8561,Naresh Kumar & Co.,4.2,(125),Urban Transport,Jamshedpur +22 other locations
8562,SATTRIX Information Security,2.9,(125),IT Services & Consulting,Ahmedabad +11 other locations
8563,Vandhana International,3.7,(125),Railways,New Delhi +14 other locations
8564,Inspace Technologies,3.9,(125),Software Product,Chennai +15 other locations
8565,Hindustan Shipyard,4.1,(125),Ports & Shipping,Visakhapatnam +6 other locations
8566,Rockwell Industries,3.6,(125),Electronics Manufacturing,Hyderabad / Secunderabad +17 other locations
8567,Welcomhotel By ITC Hotels,4.3,(125),,
8568,Dayanand Medical College & Hospital,3.5,(125),Healthcare,Ludhiana +6 other locations
8569,Continuum Global Solutions,3.6,(125),BPO,Indore +9 other locations
8570,Dasnac,4.7,(125),Real Estate,New Delhi +2 other locations
8571,Redington Gulf,3.8,(125),IT Services & Consulting,Chennai +2 other locations
8572,Rare Rabbit,3.5,(125),Fashion & Textile,Bangalore / Bengaluru +31 other locations
8573,Rahman Industries,3.7,(125),Fashion & Textile,Kanpur +9 other locations
8574,Paharpur 3P,4.1,(125),Packaging,Ghaziabad +12 other locations
8575,Multitex Filtration Engineers,3.5,(124),Industrial Machinery,New Delhi +3 other locations
8576,Intelegencia,3.3,(125),IT Services & Consulting,Noida +7 other locations
